Lines of code metrics,Wed, 8 Nov 2023 04:59:54 WET
Method,CLOC,JLOC,LOC,NCLOC,RLOC
accept(File),0,0,4,4,66.67%
"accept(File, String)",0,0,4,4,66.67%
"compare(AIUnit, AIUnit)",0,0,16,16,88.89%
"compare(Destination, Destination)",0,0,5,5,71.43%
"compare(FreeColObject, FreeColObject)",0,0,3,3,60.00%
"compare(Location, Location)",0,0,3,3,60.00%
"compare(Scope, Scope)",0,0,3,3,60.00%
"getCost(Unit, Location, Location, int)",0,0,9,9,60.00%
getLocationData(UnitData),0,0,4,4,66.67%
getMovesLeft(),0,0,2,2,13.33%
getNewTurns(),0,0,2,2,13.33%
mousePressed(MouseEvent),0,0,4,4,66.67%
net.sf.freecol.AllTests.suite(),3,0,17,14,77.27%
net.sf.freecol.FreeCol.FreeCol(),1,0,1,1,0.07%
"net.sf.freecol.FreeCol.LogLevel.LogLevel(String, Level)",0,0,5,5,27.78%
net.sf.freecol.FreeCol.LogLevel.buildLogger(),0,0,5,5,27.78%
"net.sf.freecol.FreeCol.badFile(String, File)",4,7,11,4,0.75%
net.sf.freecol.FreeCol.checkServerIntegrity(FreeColServer),4,5,33,28,2.25%
net.sf.freecol.FreeCol.createSplashScreen(),0,0,13,13,0.88%
"net.sf.freecol.FreeCol.errorFromException(Exception, String)",4,8,12,4,0.82%
"net.sf.freecol.FreeCol.errorFromException(Exception, StringTemplate)",4,8,19,11,1.29%
"net.sf.freecol.FreeCol.fatal(Logger, String)",4,6,10,4,0.68%
net.sf.freecol.FreeCol.fatal(String),4,5,13,8,0.88%
net.sf.freecol.FreeCol.fatal(StringTemplate),4,5,8,3,0.54%
"net.sf.freecol.FreeCol.findArg(String, String[])",5,8,16,8,1.09%
net.sf.freecol.FreeCol.getAdvantages(),4,6,10,4,0.68%
net.sf.freecol.FreeCol.getAdvantagesDescription(),4,5,9,4,0.61%
net.sf.freecol.FreeCol.getConfiguration(),6,7,42,35,2.86%
net.sf.freecol.FreeCol.getDebugDescription(),4,5,9,4,0.61%
net.sf.freecol.FreeCol.getDefaultSplashStream(JarURLConnection),7,10,16,6,1.09%
net.sf.freecol.FreeCol.getDifficulty(),4,5,8,3,0.54%
net.sf.freecol.FreeCol.getEuropeanCount(),4,5,8,3,0.54%
net.sf.freecol.FreeCol.getFreeColProtocolVersion(),4,5,8,3,0.54%
net.sf.freecol.FreeCol.getHeadless(),5,6,9,3,0.61%
net.sf.freecol.FreeCol.getJarURLConnection(Class),4,7,13,6,0.88%
net.sf.freecol.FreeCol.getLocale(),4,5,8,3,0.54%
net.sf.freecol.FreeCol.getMetaServerAddress(),4,5,8,3,0.54%
net.sf.freecol.FreeCol.getMetaServerPort(),4,5,8,3,0.54%
net.sf.freecol.FreeCol.getName(),4,6,11,5,0.75%
net.sf.freecol.FreeCol.getRevision(),4,5,8,3,0.54%
net.sf.freecol.FreeCol.getRules(),4,5,8,3,0.54%
net.sf.freecol.FreeCol.getRulesFile(),4,5,8,3,0.54%
net.sf.freecol.FreeCol.getRulesSpecification(),4,5,14,9,0.95%
net.sf.freecol.FreeCol.getServerHost(),4,5,11,6,0.75%
net.sf.freecol.FreeCol.getServerName(),4,5,12,7,0.82%
net.sf.freecol.FreeCol.getServerPort(),4,5,8,3,0.54%
net.sf.freecol.FreeCol.getTc(),4,5,8,3,0.54%
net.sf.freecol.FreeCol.getTimeout(boolean),7,9,15,6,1.02%
net.sf.freecol.FreeCol.getValidAdvantages(),4,5,9,4,0.61%
net.sf.freecol.FreeCol.getValidDifficulties(),4,5,10,5,0.68%
net.sf.freecol.FreeCol.getValidGUIScales(),4,5,12,7,0.82%
net.sf.freecol.FreeCol.getVersion(),4,6,9,3,0.61%
net.sf.freecol.FreeCol.gripe(String),4,5,8,3,0.54%
net.sf.freecol.FreeCol.gripe(StringTemplate),4,5,8,3,0.54%
net.sf.freecol.FreeCol.handleArgs(String[]),19,6,248,236,16.88%
"net.sf.freecol.FreeCol.loadSpecification(FreeColModFile, Advantages, String)",4,8,21,13,1.43%
net.sf.freecol.FreeCol.main(String[]),35,5,136,101,9.26%
"net.sf.freecol.FreeCol.printUsage(Options, int)",4,6,12,6,0.82%
net.sf.freecol.FreeCol.processSpecialOptions(),18,3,63,45,4.29%
net.sf.freecol.FreeCol.quit(int),4,5,9,4,0.61%
net.sf.freecol.FreeCol.readVersion(JarURLConnection),4,7,12,5,0.82%
net.sf.freecol.FreeCol.selectAdvantages(String),6,8,13,5,0.88%
net.sf.freecol.FreeCol.selectDifficulty(String),4,6,13,7,0.88%
net.sf.freecol.FreeCol.selectEuropeanCount(String),4,6,16,10,1.09%
net.sf.freecol.FreeCol.setAdvantages(Advantages),4,5,8,3,0.54%
net.sf.freecol.FreeCol.setDifficulty(OptionGroup),4,6,9,3,0.61%
net.sf.freecol.FreeCol.setDifficulty(String),4,5,8,3,0.54%
net.sf.freecol.FreeCol.setEuropeanCount(int),4,5,8,3,0.54%
net.sf.freecol.FreeCol.setHeadless(boolean),6,7,10,3,0.68%
net.sf.freecol.FreeCol.setLocale(String),7,9,27,18,1.84%
net.sf.freecol.FreeCol.setMetaServer(String),4,6,17,11,1.16%
net.sf.freecol.FreeCol.setName(String),4,5,9,4,0.61%
net.sf.freecol.FreeCol.setRules(String),6,7,10,3,0.68%
net.sf.freecol.FreeCol.setServerAddress(String),4,6,15,9,1.02%
net.sf.freecol.FreeCol.setServerPort(String),4,6,15,9,1.02%
net.sf.freecol.FreeCol.setTc(String),6,7,10,3,0.68%
net.sf.freecol.FreeCol.setTimeout(String),4,5,11,6,0.75%
net.sf.freecol.FreeCol.setWindowSize(String),8,8,20,12,1.36%
net.sf.freecol.FreeCol.startClient(),16,3,37,21,2.52%
net.sf.freecol.FreeCol.startServer(),3,3,51,48,3.47%
net.sf.freecol.FreeCol.startTestClient(Specification),4,6,11,5,0.75%
"net.sf.freecol.FreeCol.trace(Logger, String)",4,6,9,3,0.61%
net.sf.freecol.client.AllTests.suite(),2,0,8,6,80.00%
net.sf.freecol.client.ClientOptions.ClientOptions(),6,6,9,3,1.09%
"net.sf.freecol.client.ClientOptions.addBooleanOption(String, String, boolean)",0,0,8,8,0.97%
"net.sf.freecol.client.ClientOptions.addIntegerOption(String, String, int)",0,0,8,8,0.97%
"net.sf.freecol.client.ClientOptions.addOptionGroup(String, String)",0,0,7,7,0.85%
"net.sf.freecol.client.ClientOptions.addPercentageOption(String, String, int)",0,0,8,8,0.97%
"net.sf.freecol.client.ClientOptions.addRangeOption(String, String, int, Map<Integer, String>)",4,8,21,13,2.55%
"net.sf.freecol.client.ClientOptions.addTextOption(String, String, String)",4,7,15,8,1.82%
net.sf.freecol.client.ClientOptions.fixClientOptions(),37,5,123,88,14.96%
net.sf.freecol.client.ClientOptions.getActiveMods(),4,5,13,8,1.58%
net.sf.freecol.client.ClientOptions.getColonyComparator(),4,5,8,3,0.97%
net.sf.freecol.client.ClientOptions.getColonyComparatorInternal(int),5,6,29,22,3.53%
net.sf.freecol.client.ClientOptions.getDisplayTileText(),4,5,8,3,0.97%
net.sf.freecol.client.ClientOptions.getModelMessageComparator(Game),4,6,19,13,2.31%
net.sf.freecol.client.ClientOptions.getPanelPosition(String),5,7,18,11,2.19%
net.sf.freecol.client.ClientOptions.getPanelSize(String),5,7,18,11,2.19%
net.sf.freecol.client.ClientOptions.getSpecialOptions(),8,8,22,12,2.68%
net.sf.freecol.client.ClientOptions.getXMLTagName(),3,3,4,1,0.49%
net.sf.freecol.client.ClientOptions.isRiverAnimationEnabled(),0,0,3,3,0.36%
net.sf.freecol.client.ClientOptions.isTerrainAnimationsEnabled(),0,0,3,3,0.36%
net.sf.freecol.client.ClientOptions.load(FreeColSavegameFile),4,6,22,16,2.68%
net.sf.freecol.client.ClientOptions.merge(File),4,6,14,8,1.70%
net.sf.freecol.client.ClientOptions.merge(FreeColSavegameFile),5,7,15,8,1.82%
"net.sf.freecol.client.ClientOptions.regroup(String, String)",4,6,10,4,1.22%
"net.sf.freecol.client.ClientTestHelper.startClient(FreeColServer, Specification)",3,0,22,19,73.33%
net.sf.freecol.client.ClientTestHelper.stopClient(FreeColClient),0,0,3,3,10.00%
"net.sf.freecol.client.FreeColClient.FreeColClient(SplashScreen, String, Dimension, String, boolean, boolean, File, ...)",49,17,135,77,15.45%
net.sf.freecol.client.FreeColClient.addSpecificationActions(Specification),5,5,15,9,1.72%
net.sf.freecol.client.FreeColClient.askServer(),4,5,8,3,0.92%
net.sf.freecol.client.FreeColClient.askToQuit(),4,3,14,11,1.60%
net.sf.freecol.client.FreeColClient.canSaveCurrentGame(),8,9,13,4,1.49%
net.sf.freecol.client.FreeColClient.changeClientState(boolean),4,5,8,3,0.92%
net.sf.freecol.client.FreeColClient.continuePlaying(),3,3,6,3,0.69%
net.sf.freecol.client.FreeColClient.currentPlayerIsMyPlayer(),4,5,10,5,1.14%
"net.sf.freecol.client.FreeColClient.failToMain(Exception, String)",5,8,11,3,1.26%
"net.sf.freecol.client.FreeColClient.failToMain(Exception, StringTemplate)",6,8,19,11,2.17%
net.sf.freecol.client.FreeColClient.getActionManager(),4,5,8,3,0.92%
net.sf.freecol.client.FreeColClient.getAnimationSpeed(Player),5,6,14,8,1.60%
net.sf.freecol.client.FreeColClient.getClientOptions(),4,6,9,3,1.03%
net.sf.freecol.client.FreeColClient.getConnectController(),5,6,9,3,1.03%
net.sf.freecol.client.FreeColClient.getFreeColServer(),4,6,9,3,1.03%
net.sf.freecol.client.FreeColClient.getGUI(),4,5,8,3,0.92%
net.sf.freecol.client.FreeColClient.getGame(),4,6,9,3,1.03%
net.sf.freecol.client.FreeColClient.getInGameController(),4,5,8,3,0.92%
net.sf.freecol.client.FreeColClient.getMapEditorController(),4,5,8,3,0.92%
net.sf.freecol.client.FreeColClient.getMyPlayer(),4,6,9,3,1.03%
net.sf.freecol.client.FreeColClient.getPreGameController(),4,5,8,3,0.92%
