Complexity metrics,terça, 7 nov. 2023 10:24:59 WET
Method,CogC,ev(G),iv(G),v(G)
AbortListener.actionPerformed(ActionEvent),0,n/a,n/a,n/a
AbortListener.execute(),1,n/a,n/a,n/a
AbortListener.keyPressed(KeyEvent),0,n/a,n/a,n/a
AbortListener.keyReleased(KeyEvent),0,n/a,n/a,n/a
AbortListener.keyTyped(KeyEvent),0,n/a,n/a,n/a
AbortListener.mouseClicked(MouseEvent),0,n/a,n/a,n/a
AbortListener.mouseEntered(MouseEvent),0,n/a,n/a,n/a
AbortListener.mouseExited(MouseEvent),0,n/a,n/a,n/a
AbortListener.mousePressed(MouseEvent),0,n/a,n/a,n/a
AbortListener.mouseReleased(MouseEvent),0,n/a,n/a,n/a
AbortListener.startTimer(int),0,n/a,n/a,n/a
AbortListener.stopped(),0,n/a,n/a,n/a
accept(File),0,1,1,1
"accept(File, String)",1,1,1,1
actionPerformed(ActionEvent),0,n/a,n/a,n/a
ancestorAdded(AncestorEvent),2,n/a,n/a,n/a
ancestorMoved(AncestorEvent),0,n/a,n/a,n/a
ancestorRemoved(AncestorEvent),0,n/a,n/a,n/a
"check(Unit, PathNode)",1,n/a,n/a,n/a
"compare(AIUnit, AIUnit)",8,1,7,7
"compare(Destination, Destination)",2,3,1,3
"compare(FreeColObject, FreeColObject)",0,1,1,1
"compare(Location, Location)",0,1,1,1
"compare(ModelMessage, ModelMessage)",5,n/a,n/a,n/a
"compare(Scope, Scope)",0,1,1,1
componentHidden(ComponentEvent),0,n/a,n/a,n/a
componentMoved(ComponentEvent),0,n/a,n/a,n/a
componentResized(ComponentEvent),0,n/a,n/a,n/a
componentShown(ComponentEvent),0,n/a,n/a,n/a
execute(),0,n/a,n/a,n/a
factorial(int),1,n/a,n/a,n/a
"getCost(Unit, Location, Location, int)",6,1,4,5
getDescription(),0,n/a,n/a,n/a
getGoal(),0,n/a,n/a,n/a
"getListCellRendererComponent(JList, Object, int, boolean, boolean)",3,n/a,n/a,n/a
getLocationData(UnitData),0,1,1,1
getMovesLeft(),1,1,1,1
getNewTurns(),1,1,1,1
getPreferredSize(),0,n/a,n/a,n/a
hasNext(),4,n/a,n/a,n/a
hasSubGoals(),0,n/a,n/a,n/a
iterator(),0,n/a,n/a,n/a
keyPressed(KeyEvent),0,n/a,n/a,n/a
keyReleased(KeyEvent),0,n/a,n/a,n/a
keyTyped(KeyEvent),1,n/a,n/a,n/a
mouseClicked(MouseEvent),2,n/a,n/a,n/a
mousePressed(MouseEvent),0,1,1,1
mouseReleased(MouseEvent),1,n/a,n/a,n/a
net.sf.freecol.AllTests.suite(),0,1,1,1
net.sf.freecol.FreeCol.FreeCol(),0,1,1,1
"net.sf.freecol.FreeCol.LogLevel.LogLevel(String, Level)",0,1,1,1
net.sf.freecol.FreeCol.LogLevel.buildLogger(),1,1,1,2
"net.sf.freecol.FreeCol.badFile(String, File)",1,1,2,2
net.sf.freecol.FreeCol.checkServerIntegrity(FreeColServer),3,1,2,4
net.sf.freecol.FreeCol.createSplashScreen(),3,1,3,3
"net.sf.freecol.FreeCol.errorFromException(Exception, String)",0,1,1,1
"net.sf.freecol.FreeCol.errorFromException(Exception, StringTemplate)",7,1,5,5
"net.sf.freecol.FreeCol.fatal(Logger, String)",1,1,2,2
net.sf.freecol.FreeCol.fatal(String),2,1,3,3
net.sf.freecol.FreeCol.fatal(StringTemplate),0,1,1,1
"net.sf.freecol.FreeCol.findArg(String, String[])",3,3,2,3
net.sf.freecol.FreeCol.getAdvantages(),1,1,1,2
net.sf.freecol.FreeCol.getAdvantagesDescription(),0,1,1,1
net.sf.freecol.FreeCol.getConfiguration(),6,1,7,7
net.sf.freecol.FreeCol.getDebugDescription(),0,1,1,1
net.sf.freecol.FreeCol.getDefaultSplashStream(JarURLConnection),0,1,1,1
net.sf.freecol.FreeCol.getDifficulty(),1,1,1,2
net.sf.freecol.FreeCol.getEuropeanCount(),0,1,1,1
net.sf.freecol.FreeCol.getFreeColProtocolVersion(),0,1,1,1
net.sf.freecol.FreeCol.getHeadless(),0,1,1,1
net.sf.freecol.FreeCol.getJarURLConnection(Class),0,1,1,1
net.sf.freecol.FreeCol.getLocale(),1,1,2,2
net.sf.freecol.FreeCol.getMetaServerAddress(),0,1,1,1
net.sf.freecol.FreeCol.getMetaServerPort(),0,1,1,1
net.sf.freecol.FreeCol.getName(),1,1,2,2
net.sf.freecol.FreeCol.getRevision(),0,1,1,1
net.sf.freecol.FreeCol.getRules(),1,1,1,2
net.sf.freecol.FreeCol.getRulesFile(),0,1,1,1
net.sf.freecol.FreeCol.getRulesSpecification(),1,1,2,2
net.sf.freecol.FreeCol.getServerHost(),1,1,1,2
net.sf.freecol.FreeCol.getServerName(),2,1,3,3
net.sf.freecol.FreeCol.getServerPort(),1,1,1,2
net.sf.freecol.FreeCol.getTc(),1,1,1,2
net.sf.freecol.FreeCol.getTimeout(boolean),3,1,1,3
net.sf.freecol.FreeCol.getValidAdvantages(),0,1,1,1
net.sf.freecol.FreeCol.getValidDifficulties(),0,1,1,1
net.sf.freecol.FreeCol.getValidGUIScales(),1,1,2,2
net.sf.freecol.FreeCol.getVersion(),0,1,1,1
net.sf.freecol.FreeCol.gripe(String),0,1,1,1
net.sf.freecol.FreeCol.gripe(StringTemplate),0,1,1,1
