Martin packaging metrics,Tue, 7 Nov 2023 19:01:51 WET
Package,A,Ca,Ce,D,I
net.sf.freecol,0.00,244,319,0.43,0.57
net.sf.freecol.client,0.00,"1,190",396,0.75,0.25
net.sf.freecol.client.control,0.09,405,"3,122",0.02,0.89
net.sf.freecol.client.gui,0.03,"1,457","2,593",0.33,0.64
net.sf.freecol.client.gui.action,0.05,305,657,0.27,0.72
net.sf.freecol.client.gui.animation,0.40,14,103,0.28,0.89
net.sf.freecol.client.gui.dialog,0.03,176,"1,690",0.06,0.91
net.sf.freecol.client.gui.images,0.00,10,260,0.04,0.96
net.sf.freecol.client.gui.label,0.30,269,309,0.17,0.55
net.sf.freecol.client.gui.mapviewer,0.05,154,"1,092",0.07,0.87
net.sf.freecol.client.gui.menu,0.17,9,467,0.15,0.98
net.sf.freecol.client.gui.option,0.08,37,379,0.01,0.90
net.sf.freecol.client.gui.panel,0.06,"1,517","3,486",0.24,0.64
net.sf.freecol.client.gui.panel.colopedia,0.13,6,738,0.13,0.99
net.sf.freecol.client.gui.panel.report,0.06,65,"2,038",0.03,0.97
net.sf.freecol.client.gui.plaf,0.00,38,128,0.23,0.74
net.sf.freecol.client.gui.tooltip,0.00,2,162,0.01,0.99
net.sf.freecol.client.gui.video,0.50,6,4,0.10,0.40
net.sf.freecol.client.networking,0.00,1,24,0.04,0.96
net.sf.freecol.common,0.25,172,10,0.70,0.05
net.sf.freecol.common.debug,0.00,362,"1,021",0.26,0.78
net.sf.freecol.common.i18n,0.10,"1,237",765,0.52,0.38
net.sf.freecol.common.io,0.00,"2,718",225,0.92,0.08
net.sf.freecol.common.io.sza,0.50,19,6,0.26,0.17
net.sf.freecol.common.logging,0.00,1,11,0.08,0.92
net.sf.freecol.common.metaserver,0.00,79,58,0.58,0.33
net.sf.freecol.common.model,0.12,"30,908","5,054",0.74,0.15
net.sf.freecol.common.model.mission,0.29,0,89,0.29,1.00
net.sf.freecol.common.model.pathfinding,0.18,279,271,0.33,0.42
net.sf.freecol.common.model.production,0.00,29,250,0.10,0.90
net.sf.freecol.common.networking,0.05,"2,042","3,434",0.32,0.71
net.sf.freecol.common.option,0.15,"1,969",417,0.68,0.17
net.sf.freecol.common.resources,0.14,321,41,0.75,0.11
net.sf.freecol.common.sound,0.00,13,53,0.20,0.78
net.sf.freecol.common.util,0.00,"2,386",7,1.00,0.00
net.sf.freecol.common.utils,0.00,2,9,0.18,0.82
net.sf.freecol.metaserver,0.00,0,89,0.00,1.00
net.sf.freecol.server,0.00,"1,104",459,0.71,0.30
net.sf.freecol.server.ai,0.17,"1,161","5,448",0.01,0.82
net.sf.freecol.server.ai.military,0.00,15,254,0.06,0.94
net.sf.freecol.server.ai.mission,0.04,429,"3,386",0.07,0.89
net.sf.freecol.server.control,0.12,189,"5,228",0.09,0.97
net.sf.freecol.server.generator,0.23,11,"1,603",0.22,0.99
net.sf.freecol.server.model,0.12,"1,143","8,123",0.00,0.88
net.sf.freecol.server.networking,0.00,28,42,0.40,0.60
net.sf.freecol.tools,0.00,0,154,0.00,1.00
net.sf.freecol.util.test,0.00,"2,218",266,0.89,0.08

